id;title;excerpt;content;language;post_id
1;Specialist Home Loan Account Personal Loan Account;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;NL;1
2;European Unit of Account 9(E.U.A.-9) Village;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;PL;2
3;Credit Card Account Associate;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;DE;3
4;Practical;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;HU;4
5;navigate Sports Factors;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;ID;5
6;local;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;GA;6
7;Steel;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;PT;7
8;Business-focused;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;PT;8
9;Intranet;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;NL;9
10;grow;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;FR;10
